         53762953 function calls (53439232 primitive calls) in 75.954 seconds

   Ordered by: file name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1100    0.016    0.000    0.016    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/_methods.py:99(_clip)
      374    0.001    0.000    0.002    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:410(__enter__)
      374    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:400(__init__)
      374    0.000    0.000    0.001    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:426(__exit__)
  1348464    3.073    0.000   14.835    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
      323    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:547(_swapaxes_dispatcher)
      172    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:911(_sort_dispatcher)
      252    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:1204(_argmax_dispatcher)
  1040424    0.165    0.000    0.165    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2054(_shape_dispatcher)
     1100    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2174(_clip_dispatcher)
    33521    0.008    0.000    0.008    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2250(_sum_dispatcher)
   104656    0.022    0.000    0.022    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2395(_any_dispatcher)
    41970    0.010    0.000    0.010    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2508(_all_dispatcher)
    18246    0.004    0.000    0.004    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2776(_max_dispatcher)
    16930    0.003    0.000    0.003    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2920(_min_dispatcher)
  1279767    0.211    0.000    0.211    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3063(_prod_dispatcher)
    20212    0.003    0.000    0.003    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3305(_size_dispatcher)
      172    0.000    0.000    0.022    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:915(sort)
  1040424    0.919    0.000    1.213    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2058(shape)
      432    0.002    0.000    0.005    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:41(_wrapit)
     1675    0.003    0.000    0.027    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
   104656    0.131    0.000    0.929    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2400(any)
    41970    0.052    0.000    0.484    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2513(all)
    18246    0.024    0.000    0.145    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2781(max)
    16930    0.023    0.000    0.129    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2925(min)
  1279767    1.513    0.000   10.400    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3068(prod)
     1100    0.002    0.000    0.025    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2178(clip)
      323    0.000    0.000    0.001    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:551(swapaxes)
      252    0.001    0.000    0.004    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:1208(argmax)
    33521    0.063    0.000    5.793    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2255(sum)
    20212    0.013    0.000    0.015    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3309(size)
   146626    0.340    0.000    1.230    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
       28    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/multiarray.py:83(empty_like)
     1439    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/multiarray.py:361(where)
    14561    0.003    0.000    0.003    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/multiarray.py:1089(copyto)
        4    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/multiarray.py:161(concatenate)
    40849    0.067    0.000    0.101    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/numeric.py:1283(rollaxis)
    40849    0.007    0.000    0.007    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/numeric.py:1279(_rollaxis_dispatcher)
       28    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/numeric.py:65(zeros_like)
       28    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/numeric.py:59(_zeros_like_dispatcher)
    14533    0.087    0.000    0.114    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/numeric.py:143(ones)
    45989    0.046    0.000    0.071    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/numeric.py:1918(isscalar)
        4    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/shape_base.py:371(stack)
        4    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/shape_base.py:207(_arrays_for_stack_dispatcher)
        4    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/shape_base.py:361(_stack_dispatcher)
    11422    0.002    0.000    0.002    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/shape_base.py:19(_atleast_1d_dispatcher)
    11422    0.016    0.000    0.024    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/_core/shape_base.py:23(atleast_1d)
      962    0.001    0.000    0.002    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:249(flip)
     2732    0.026    0.000    0.030    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:1324(diff)
     3536    0.002    0.000    0.003    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:343(iterable)
      962    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:245(_flip_dispatcher)
     2732    0.001    0.000    0.001    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:1320(_diff_dispatcher)
   403338    0.180    0.000    0.263    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_index_tricks_impl.py:613(__next__)
      410    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_index_tricks_impl.py:627(__iter__)
      410    0.001    0.000    0.001    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_index_tricks_impl.py:610(__init__)
      962    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_index_tricks_impl.py:778(__getitem__)
       28    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_polynomial_impl.py:690(_polyval_dispatcher)
       28    0.002    0.000    0.002    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_polynomial_impl.py:694(polyval)
     3536    0.048    0.000    0.072    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:349(_broadcast_to)
    12190    0.010    0.000    0.010    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:354(<genexpr>)
     3214    0.001    0.000    0.001    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:372(_broadcast_to_dispatcher)
     2115    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:485(_broadcast_arrays_dispatcher)
     7466    0.002    0.000    0.002    0.000 /home/spitale/rms-/rms-data-projects/metadata/metadata-venv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:553(<genexpr>)
